Código do Município,Município,Estado,Região,Ano de Referência,Código do Prestador,Prestador,Sigla do Prestador,Abrangência,Tipo de serviço,Natureza jurídica,População total do município do ano de referência:,População total atendida com esgotamento sanitário
520620,Cristalina,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"62.337,00",24.008
520590,Corumbaíba,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"9.164,00",6.737
520549,Cidade Ocidental,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"91.767,00",35.828
521930,Santa Helena de Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"38.492,00",35.506
521305,Mimoso de Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"2.614,00",1.190
521308,Minaçu,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"27.075,00",20.091
521370,Montes Claros de Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"8.756,00",3.441
521375,Montividiu,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"12.521,00",6.244
521380,Morrinhos,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"51.351,00",36.303
521460,Niquelândia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"34.964,00",16.436
521523,Novo Gama,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"103.804,00",46.413
521560,Padre Bernardo,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"34.967,00",13.375
521570,Palmeiras de Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"31.858,00",24.516
521640,Paraúna,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"10.659,00",7.634
521710,Piracanjuba,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"24.883,00",17.313
521730,Pirenópolis,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"26.690,00",3.762
521740,Pires do Rio,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"32.373,00",12.189
521760,Planaltina,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"105.031,00",86.896
521770,Pontalina,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"18.309,00",14.857
521800,Porangatu,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"44.317,00",29.847
521830,Posse,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"34.914,00",26.248
521850,Quirinópolis,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"48.447,00",44.627
521880,Rio Verde,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"225.696,00",198.935
521890,Rubiataba,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"19.788,00",15.809
521900,Sanclerlândia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"7.918,00",4.870
521975,Santo Antônio do Descoberto,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"72.127,00",43.948
522005,São João da Paraúna,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"1.774,00",1.167
522010,São Luís de Montes Belos,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"33.852,00",29.457
522020,São Miguel do Araguaia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"21.900,00",11.521
522060,Silvânia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"22.245,00",14.036
522119,Terezópolis de Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"7.944,00",6.276
522140,Trindade,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"142.431,00",98.873
522160,Uruaçu,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"42.546,00",28.197
522170,Uruana,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"13.729,00",352
522185,Valparaíso de Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"198.861,00",94.734
522200,Vianópolis,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"14.956,00",7.490
520540,Ceres,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"22.046,00",20.660
520490,Campos Belos,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"18.108,00",16.159
520440,Caiapônia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"16.513,00",12.526
520430,Caçu,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"13.774,00",12.162
520425,Cachoeira Dourada,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"7.782,00",4.829
520390,Buriti Alegre,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"10.495,00",0
520380,Britânia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"5.695,00",4.897
520350,Bom Jesus de Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"23.958,00",20.733
520330,Bela Vista de Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"34.445,00",15.331
520250,Aruanã,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"8.300,00",4.595
520215,Araguapaz,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"7.153,00",4.012
520145,Aparecida do Rio Doce,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"2.907,00",2.035
520140,Aparecida de Goiânia,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"527.796,00",403.566
520130,Anicuns,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"18.503,00",9.681
520110,Anápolis,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"398.869,00",322.949
520080,Alvorada do Norte,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"8.446,00",7.152
520025,Águas Lindas de Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"225.693,00",162.555
520013,Acreúna,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"21.568,00",8.690
520005,Abadia de Goiás,GO,Centro-Oeste,2022,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"19.128,00",3.307
521310,Mineiros,GO,Centro-Oeste,2022,52131011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Água e Esgoto,Autarquia,"70.081,00",70.073
521630,Paranaiguara,GO,Centro-Oeste,2022,52163011,Prefeitura Municipal de Paranaiguara,PMP,Local,Água e Esgoto,Administração pública direta,"7.607,00",7.607
521878,Rio Quente,GO,Centro-Oeste,2022,52187811,Prefeitura Municipal de Rio Quente,PMRQ,Local,Água e Esgoto,Administração pública direta,"3.864,00",1.153
522040,São Simão,GO,Centro-Oeste,2022,52204012,São Simão Saneamento Ambiental S.A.,SSSA,Local,Água e Esgoto,Empresa privada,"17.020,00",15.775
522045,Senador Canedo,GO,Centro-Oeste,2022,52204511,Sistema Municipal de Saneamento de Senador Canedo,SMS,Local,Água e Esgoto,Autarquia,"155.635,00",4.501
500210,Bela Vista,MS,Centro-Oeste,2022,50021011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Água e Esgoto,Autarquia,"21.613,00",7.956
500230,Brasilândia,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"11.579,00",5.864
500220,Bonito,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"23.659,00",20.514
500510,Jateí,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"3.586,00",1.391
500500,Jardim,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"23.981,00",9.821
500480,Japorã,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"8.148,00",1.298
500450,Itaporã,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"24.137,00",2.829
500440,Inocência,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"8.404,00",718
500430,Iguatemi,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"13.808,00",2.227
500410,Guia Lopes da Laguna,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"9.940,00",6.439
500390,Figueirão,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"3.539,00",142
500380,Fátima do Sul,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"20.609,00",5.274
500375,Eldorado,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"11.386,00",2.634
500370,Dourados,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"243.367,00",180.649
500350,Douradina,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"5.578,00",927
500348,Dois Irmãos do Buriti,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"11.100,00",4.607
500345,Deodápolis,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"13.663,00",1.989
500330,Coxim,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"32.151,00",3.600
500320,Corumbá,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"96.268,00",51.372
500315,Coronel Sapucaia,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"14.289,00",5.854
500295,Chapadão do Sul,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"30.993,00",23.436
500200,Batayporã,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"10.712,00",6.428
500280,Caracol,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"5.036,00",1.775
500190,Bataguassu,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"23.031,00",6.257
500124,Aral Moreira,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"10.748,00",1.014
500110,Aquidauana,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"46.803,00",9.609
500100,Aparecida do Taboado,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"27.674,00",6.482
500215,Bodoquena,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"8.567,00",6.053
500090,Antônio João,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"9.303,00",3.348
500085,Angélica,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"10.729,00",5.022
500260,Camapuã,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"13.583,00",7.467
500240,Caarapó,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"30.612,00",5.248
500080,Anaurilândia,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"7.653,00",3.393
500070,Anastácio,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"24.114,00",5.718
500060,Amambai,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"39.325,00",12.887
500025,Alcinópolis,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"4.537,00",2.884
500840,Vicentina,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"6.336,00",641
500830,Três Lagoas,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"132.152,00",120.554
500800,Terenos,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"17.652,00",4.069
500795,Tacuru,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"10.808,00",3.567
500790,Sidrolândia,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"47.118,00",12.873
500755,Santa Rita do Pardo,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"7.027,00",3.141
500740,Rio Verde de Mato Grosso,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"19.818,00",3.099
500720,Rio Brilhante,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"37.601,00",11.775
500710,Ribas do Rio Pardo,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"23.150,00",12.431
500690,Porto Murtinho,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"12.859,00",7.434
500660,Ponta Porã,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"92.017,00",55.137
500640,Pedro Gomes,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"6.941,00",749
500635,Paranhos,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"12.921,00",5.785
500630,Paranaíba,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"40.957,00",28.966
500620,Nova Andradina,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"48.563,00",20.072
500600,Nova Alvorada do Sul,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"21.822,00",3.374
500580,Nioaque,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"13.220,00",2.953
500570,Naviraí,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"50.457,00",19.790
500560,Miranda,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"25.536,00",8.863
500540,Maracaju,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"45.047,00",13.386
500525,Laguna Carapã,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"6.799,00",2.075
500520,Ladário,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"21.522,00",4.482
500515,Juti,MS,Centro-Oeste,2022,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,"6.729,00",1.688
