Código do Município,Município,Estado,Região,Ano de Referência,Código do Prestador,Prestador,Sigla do Prestador,Abrangência,Tipo de serviço,Natureza jurídica,POP_TOT - População total do município do ano de referência (Fonte: IBGE):,ES001 - População total atendida com esgotamento sanitário
520330,Bela Vista de Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,29.448,8.438
520350,Bom Jesus de Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,24.776,19.424
520380,Britânia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,5.761,3.317
520390,Buriti Alegre,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,9.433,1.548
520425,Cachoeira Dourada,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,8.102,3.269
520430,Caçu,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,15.743,11.481
520440,Caiapônia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,18.715,10.926
520490,Campos Belos,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,19.764,14.026
520540,Ceres,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,22.074,18.730
521900,Sanclerlândia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,7.642,3.488
521305,Mimoso de Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,2.612,915
521150,Itumbiara,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,103.652,93.809
521280,Mara Rosa,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,9.646,4.498
521560,Padre Bernardo,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,33.228,8.515
521523,Novo Gama,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,113.679,33.080
521460,Niquelândia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,46.039,7.708
521380,Morrinhos,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,45.716,28.390
521375,Montividiu,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,13.115,4.189
521370,Montes Claros de Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,8.063,3.381
520549,Cidade Ocidental,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,69.829,25.528
520590,Corumbaíba,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,9.574,5.427
520620,Cristalina,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,57.759,8.394
520740,Edéia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,12.276,10.393
520800,Formosa,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,119.506,95.729
520860,Goianésia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,69.072,50.982
520870,Goiânia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,1.495.705,1.204.947
520880,Goianira,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,43.260,10.804
520890,Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,22.916,13.125
520910,Goiatuba,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,33.986,13.426
520920,Guapó,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,14.211,7.881
521000,Inhumas,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,52.465,33.609
521020,Iporá,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,31.563,9.052
521040,Itaberaí,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,42.163,16.936
521120,Itapuranga,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,25.856,17.879
521140,Itauçu,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,8.916,6.502
522185,Valparaíso de Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,164.723,49.524
522170,Uruana,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,13.868,522
522160,Uruaçu,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,40.217,22.984
522140,Trindade,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,125.328,68.075
522119,Terezópolis de Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,7.897,4.749
522060,Silvânia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,20.573,9.436
522020,São Miguel do Araguaia,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,22.067,7.336
522010,São Luís de Montes Belos,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,33.470,22.286
522005,São João da Paraúna,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,1.417,1.071
521975,Santo Antônio do Descoberto,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,73.636,32.772
521930,Santa Helena de Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,38.485,36.704
521308,Minaçu,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,29.353,12.540
521890,Rubiataba,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,19.815,13.173
521880,Rio Verde,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,229.651,112.846
521850,Quirinópolis,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,49.416,39.938
521830,Posse,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,36.375,21.663
521800,Porangatu,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,45.151,4.285
521770,Pontalina,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,17.777,13.880
521760,Planaltina,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,89.181,44.840
521740,Pires do Rio,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,31.225,7.297
521710,Piracanjuba,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,24.499,15.446
521640,Paraúna,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,10.995,8.084
521570,Palmeiras de Goiás,GO,Centro-Oeste,2018,52087000,Saneamento de Goiás S/A,SANEAGO,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,28.313,23.252
521310,Mineiros,GO,Centro-Oeste,2018,52131011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Água e Esgoto,Autarquia,65.420,63.620
521630,Paranaiguara,GO,Centro-Oeste,2018,52163011,Prefeitura Municipal de Paranaiguara,PMP,Local,Água e Esgoto,Administração pública direta,9.972,9.810
521878,Rio Quente,GO,Centro-Oeste,2018,52187811,Prefeitura Municipal de Rio Quente,PMRQ,Local,Água e Esgoto,Administração pública direta,4.371,999
522040,São Simão,GO,Centro-Oeste,2018,52204011,Prefeitura Municipal de São Simão,PMSS,Local,Água e Esgoto,Administração pública direta,20.297,17.000
522045,Senador Canedo,GO,Centro-Oeste,2018,52204511,Sistema Municipal de Saneamento de Senador Canedo,SMS,Local,Água e Esgoto,Autarquia,112.224,7.264
500210,Bela Vista,MS,Centro-Oeste,2018,50021011,Serviço Autônomo de Água e Esgoto,SAAE,Local,Água e Esgoto,Autarquia,24.508,5.820
500640,Pedro Gomes,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,7.666,822
500690,Porto Murtinho,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,17.078,10.976
500710,Ribas do Rio Pardo,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,24.258,8.255
500720,Rio Brilhante,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,36.830,2.969
500740,Rio Verde de Mato Grosso,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,19.682,1.629
500755,Santa Rita do Pardo,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,7.801,924
500790,Sidrolândia,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,56.081,1.607
500795,Tacuru,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,11.427,3.492
500800,Terenos,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,21.311,1.624
500830,Três Lagoas,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,119.465,90.876
500840,Vicentina,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,6.067,450
500025,Alcinópolis,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,5.268,2.288
500060,Amambai,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,38.958,8.139
500070,Anastácio,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,25.128,5.042
500085,Angélica,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,10.620,1.386
500090,Antônio João,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,8.891,674
500100,Aparecida do Taboado,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,25.431,3.957
500110,Aquidauana,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,47.784,5.589
500190,Bataguassu,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,22.717,2.667
500200,Batayporã,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,11.305,872
500215,Bodoquena,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,7.817,5.598
500220,Bonito,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,21.738,17.754
500230,Brasilândia,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,11.891,7.976
500240,Caarapó,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,29.743,5.138
500260,Camapuã,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,13.727,8.054
500280,Caracol,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,6.049,1.075
500295,Chapadão do Sul,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,24.559,9.562
500315,Coronel Sapucaia,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,15.152,5.728
500320,Corumbá,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,110.806,56.309
500330,Coxim,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,33.516,3.920
500370,Dourados,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,220.965,153.995
500375,Eldorado,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,12.305,2.757
500380,Fátima do Sul,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,19.234,4.457
500410,Guia Lopes da Laguna,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,9.968,1.591
500430,Iguatemi,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,15.977,2.047
500440,Inocência,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,7.625,636
500450,Itaporã,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,23.886,1.663
500500,Jardim,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,25.967,6.061
500510,Jateí,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,4.034,1.863
500515,Juti,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,6.638,1.316
500520,Ladário,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,22.968,3.802
500540,Maracaju,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,45.932,8.729
500560,Miranda,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,27.795,8.756
500570,Naviraí,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,54.051,17.484
500580,Nioaque,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,14.085,3.107
500620,Nova Andradina,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,53.517,7.555
500630,Paranaíba,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,42.010,23.504
500635,Paranhos,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,14.048,4.021
500660,Ponta Porã,MS,Centro-Oeste,2018,50027000,Empresa de Saneamento de Mato Grosso do Sul S/A,SANESUL,Regional,Água e Esgoto,Sociedade de economia mista com administração pública,91.082,42.821
500270,Campo Grande,MS,Centro-Oeste,2018,50027011,Águas Guariroba S/A,AG,Local,Água e Esgoto,Empresa privada,885.711,732.551
500290,Cassilândia,MS,Centro-Oeste,2018,50029011,Prefeitura Municipal de Cassilândia,PMC,Local,Água e Esgoto,Administração pública direta,21.876,3.720
500310,Corguinho,MS,Centro-Oeste,2018,50031011,Serviço Autônomo de Água e Esgoto de Corguinho,SAAE,Local,Água e Esgoto,Autarquia,5.839,1.210
500325,Costa Rica,MS,Centro-Oeste,2018,50032511,Serviço Municipal de Águas e Esgotos,SAAE,Local,Água e Esgoto,Autarquia,20.496,16.300
500769,São Gabriel do Oeste,MS,Centro-Oeste,2018,50076911,Serviço Autônomo de Água e Esgoto,SAAE,Local,Água e Esgoto,Autarquia,26.363,21.011
510020,Água Boa,MT,Centro-Oeste,2018,51002011,Prefeitura Municipal de Água Boa,DEMAE,Local,Água e Esgoto,Administração pública direta,25.229,420
510025,Alta Floresta,MT,Centro-Oeste,2018,51002511,ÁGUAS ALTA FLORESTA LTDA,AAF,Local,Água e Esgoto,Empresa privada,51.615,23.769
510030,Alto Araguaia,MT,Centro-Oeste,2018,51003011,Prefeitura Municipal de Alto Araguaia,PMAA,Local,Água e Esgoto,Administração pública direta,18.703,940
510140,Aripuanã,MT,Centro-Oeste,2018,51014011,Prefeitura Municipal de Aripuanã,DAE,Local,Água e Esgoto,Administração pública direta,21.987,406
510170,Barra do Bugres,MT,Centro-Oeste,2018,51017011,Departamento de Água e Esgotos,DAE,Local,Água e Esgoto,Autarquia,34.619,9.350
510180,Barra do Garças,MT,Centro-Oeste,2018,51018012,Águas de Barra do Garças Ltda,ABG,Local,Água e Esgoto,Empresa privada,60.661,42.871
510250,Cáceres,MT,Centro-Oeste,2018,51025012,Serviço de Saneamento Ambiental Águas do Pantanal,SSAAP,Local,Água e Esgoto,Autarquia,93.882,6.723
510267,Campo Verde,MT,Centro-Oeste,2018,51026711,Águas de Campo Verde Ltda,ACV,Local,Água e Esgoto,Empresa privada,42.871,27.661
510305,Cláudia,MT,Centro-Oeste,2018,51030511,Águas de Cláudia Ltda,AC,Local,Água e Esgoto,Empresa privada,12.052,8.029
510320,Colíder,MT,Centro-Oeste,2018,51032011,ÁGUAS COLÍDER LTDA,AC,Local,Água e Esgoto,Empresa privada,33.224,14.073
510335,Confresa,MT,Centro-Oeste,2018,51033511,Águas de Confresa S/A,ACO,Local,Água e Esgoto,Empresa privada,30.347,10.292
510340,Cuiabá,MT,Centro-Oeste,2018,51034011,Águas Cuiabá SA,CBA,Local,Água e Esgoto,Empresa privada,607.153,359.909
510350,Diamantino,MT,Centro-Oeste,2018,51035012,Águas de Diamantino Ltda.,ADI,Local,Água e Esgoto,Empresa privada,21.904,8.594
510360,Dom Aquino,MT,Centro-Oeste,2018,51036011,Prefeitura Municipal de Dom Aquino,PMDA,Local,Água e Esgoto,Administração pública direta,8.199,184
510410,Guarantã do Norte,MT,Centro-Oeste,2018,51041011,Águas de Guarantã Ltda,AG,Local,Água e Esgoto,Empresa privada,35.497,5.599
510500,Jauru,MT,Centro-Oeste,2018,51050011,Águas de Jauru,AJ,Local,Água e Esgoto,Empresa privada,9.006,5.307
